date,currency_pair,market_rate
2024-01-01,EURUSD,1.0811
2024-01-02,EURUSD,1.0808
2024-01-03,EURUSD,1.0822
2024-01-04,EURUSD,1.0855
2024-01-05,EURUSD,1.085
2024-01-06,EURUSD,1.0845
2024-01-07,EURUSD,1.0879
2024-01-08,EURUSD,1.0896
2024-01-09,EURUSD,1.0885
2024-01-10,EURUSD,1.0897
2024-01-11,EURUSD,1.0887
2024-01-12,EURUSD,1.0877
2024-01-13,EURUSD,1.0882
2024-01-14,EURUSD,1.0841
2024-01-15,EURUSD,1.0803
2024-01-16,EURUSD,1.0791
2024-01-17,EURUSD,1.0769
2024-01-18,EURUSD,1.0776
2024-01-19,EURUSD,1.0757
2024-01-20,EURUSD,1.0726
2024-01-21,EURUSD,1.0758
2024-01-22,EURUSD,1.0753
2024-01-23,EURUSD,1.0754
2024-01-24,EURUSD,1.0724
2024-01-25,EURUSD,1.0712
2024-01-26,EURUSD,1.0714
2024-01-27,EURUSD,1.069
2024-01-28,EURUSD,1.0698
2024-01-29,EURUSD,1.0685
2024-01-30,EURUSD,1.0679
2024-01-31,EURUSD,1.0666
2024-01-01,EURGBP,0.8532
2024-01-02,EURGBP,0.8531
2024-01-03,EURGBP,0.8513
2024-01-04,EURGBP,0.8527
2024-01-05,EURGBP,0.8507
2024-01-06,EURGBP,0.851
2024-01-07,EURGBP,0.8477
2024-01-08,EURGBP,0.8454
2024-01-09,EURGBP,0.8458
2024-01-10,EURGBP,0.847
2024-01-11,EURGBP,0.8473
2024-01-12,EURGBP,0.8471
2024-01-13,EURGBP,0.8466
2024-01-14,EURGBP,0.8441
2024-01-15,EURGBP,0.8429
2024-01-16,EURGBP,0.8421
2024-01-17,EURGBP,0.8439
2024-01-18,EURGBP,0.8445
2024-01-19,EURGBP,0.8415
2024-01-20,EURGBP,0.842
2024-01-21,EURGBP,0.8414
2024-01-22,EURGBP,0.8403
2024-01-23,EURGBP,0.8413
2024-01-24,EURGBP,0.843
2024-01-25,EURGBP,0.8446
2024-01-26,EURGBP,0.8432
2024-01-27,EURGBP,0.8427
2024-01-28,EURGBP,0.8432
2024-01-29,EURGBP,0.8449
2024-01-30,EURGBP,0.844
2024-01-31,EURGBP,0.8437
2024-01-01,EURCHF,0.9479
2024-01-02,EURCHF,0.9456
2024-01-03,EURCHF,0.9472
2024-01-04,EURCHF,0.9497
2024-01-05,EURCHF,0.9496
2024-01-06,EURCHF,0.9515
2024-01-07,EURCHF,0.9522
2024-01-08,EURCHF,0.951
2024-01-09,EURCHF,0.9517
2024-01-10,EURCHF,0.9546
2024-01-11,EURCHF,0.9545
2024-01-12,EURCHF,0.9575
2024-01-13,EURCHF,0.9525
2024-01-14,EURCHF,0.9541
2024-01-15,EURCHF,0.9542
2024-01-16,EURCHF,0.9537
2024-01-17,EURCHF,0.9539
2024-01-18,EURCHF,0.9501
2024-01-19,EURCHF,0.9497
2024-01-20,EURCHF,0.9503
2024-01-21,EURCHF,0.9531
2024-01-22,EURCHF,0.9522
2024-01-23,EURCHF,0.9506
2024-01-24,EURCHF,0.9497
2024-01-25,EURCHF,0.9514
2024-01-26,EURCHF,0.952
2024-01-27,EURCHF,0.951
2024-01-28,EURCHF,0.952
2024-01-29,EURCHF,0.9522
2024-01-30,EURCHF,0.954
2024-01-31,EURCHF,0.9527
